"C23002A_001E","C23002A_001M","C23002A_002E","C23002A_002M","C23002A_003E","C23002A_003M","C23002A_004E","C23002A_004M","C23002A_005E","C23002A_005M","C23002A_006E","C23002A_006M","C23002A_007E","C23002A_007M","C23002A_008E","C23002A_008M","C23002A_009E","C23002A_009M","C23002A_010E","C23002A_010M","C23002A_011E","C23002A_011M","C23002A_012E","C23002A_012M","C23002A_013E","C23002A_013M","C23002A_014E","C23002A_014M","C23002A_015E","C23002A_015M","C23002A_016E","C23002A_016M","C23002A_017E","C23002A_017M","C23002A_018E","C23002A_018M","C23002A_019E","C23002A_019M","C23002A_020E","C23002A_020M","C23002A_021E","C23002A_021M","C23002A_022E","C23002A_022M","C23002A_023E","C23002A_023M","C23002A_024E","C23002A_024M","C23002A_025E","C23002A_025M","C23002A_026E","C23002A_026M","C23002A_027E","C23002A_027M","GEO_ID","NAME"
"2299998","2330","1127474","1577","898921","1591","703647","2877","11183","677","692464","3049","660846","2931","31618","955","195274","2183","228553","262","51824","831","50754","851","1070","155","176729","888","1172524","1214","890419","1197","599088","2659","2374","295","596714","2640","570514","2886","26200","935","291331","2449","282105","292","41704","1088","40853","1070","851","166","240401","1080","0400000US40","Oklahoma"
"2877570","4216","1412015","2736","1109010","2693","877057","3650","2322","500","874735","3587","825407","3768","49328","1767","231953","3237","303005","418","58365","1389","56005","1350","2360","285","244640","1327","1465555","2366","1108024","2282","788738","3780","377","142","788361","3783","749257","3761","39104","1379","319286","3941","357531","480","48442","1354","46732","1339","1710","254","309089","1352","0400000US41","Oregon"
"8580791","4879","4168568","3216","3269622","3062","2639477","5436","4665","420","2634812","5471","2508539","5912","126273","2498","630145","5409","898946","692","204919","2029","198821","2085","6098","433","694027","2081","4412223","2753","3265210","2691","2389594","5574","685","190","2388909","5582","2288241","5860","100668","1837","875616","5060","1147013","580","168043","2066","163480","2000","4563","386","978970","2152","0400000US42","Pennsylvania"
"721666","2224","344528","1283","274526","1289","220761","1829","2517","353","218244","1917","206478","1850","11766","908","53765","1707","70002","355","17704","703","17002","666","702","187","52298","782","377138","1327","284174","1228","213199","1894","447","149","212752","1903","204026","1959","8726","665","70975","1632","92964","328","14227","623","13864","625","363","95","78737","649","0400000US44","Rhode Island"
"2784807","3128","1353746","2189","1049019","2135","831638","3290","19724","1125","811914","3485","775378","3662","36536","1569","217381","3039","304727","323","62367","1180","61041","1168","1326","264","242360","1232","1431061","1765","1065727","1750","729952","3835","3574","468","726378","3892","691521","3726","34857","1518","335775","3800","365334","335","46383","1431","45123","1409","1260","203","318951","1387","0400000US45","South Carolina"
"589877","821","295070","620","232951","615","199546","1104","2012","293","197534","1131","191866","1220","5668","583","33405","902","62119","89","17649","622","17475","620","174","86","44470","623","294807","500","222426","489","177517","1350","202","81","177315","1352","173722","1366","3593","416","44909","1246","72381","169","13652","644","13438","632","214","130","58729","645","0400000US46","South Dakota"
"4252945","3189","2065214","1976","1647783","1924","1285571","4170","12667","711","1272904","4167","1216026","4328","56878","1709","362212","4024","417431","418","88499","1929","86308","1911","2191","318","328932","1928","2187731","1831","1671104","1769","1130031","4823","1180","227","1128851","4849","1075556","5193","53295","1871","541073","4602","516627","386","69679","1471","67904","1491","1775","236","446948","1499","0400000US47","Tennessee"
"16216837","14118","8007820","8392","6724467","7849","5416008","10483","55348","2065","5360660","10581","5110947","10810","249713","4278","1308459","8025","1283353","1674","323695","2999","312895","2987","10800","701","959658","3419","8209017","7489","6636653","7155","4397469","11516","8461","665","4389008","11542","4176681","11203","212327","3637","2239184","10840","1572364","1879","242155","3478","235548","3436","6607","615","1330209","4017","0400000US48","Texas"
"1983586","3702","988639","2147","842183","2099","716415","2742","2968","323","713447","2785","688551","2835","24896","1057","125768","2373","146456","320","36180","957","35617","955","563","131","110276","1061","994947","2229","826161","2167","574165","2863","556","188","573609","2902","554399","2881","19210","935","251996","2941","168786","355","23089","816","22700","800","389","102","145697","871","0400000US49","Utah"
"494767","487","241609","333","189254","329","150176","1114","492","132","149684","1117","143258","1128","6426","483","39078","1127","52355","72","14911","453","14547","468","364","98","37444","454","253158","322","191167","326","146990","1018","47","48","146943","1020","142510","1063","4433","415","44177","1083","61991","103","11702","446","11454","436","248","107","50289","429","0400000US50","Vermont"
"4695633","4973","2309165","3184","1863179","3151","1524552","4989","73842","1891","1450710","5292","1392379","5679","58331","1703","338627","4131","445986","542","108480","1529","105728","1463","2752","309","337506","1473","2386468","2983","1840302","2797","1324221","4857","12603","872","1311618","4935","1259865","4794","51753","1593","516081","4203","546166","554","85893","1612","84318","1611","1575","263","460273","1714","0400000US51","Virginia"
"4589388","4837","2282227","3064","1832474","2915","1484758","4327","34118","1171","1450640","4341","1379708","4659","70932","2010","347716","3941","449753","525","92047","1599","89306","1565","2741","302","357706","1703","2307161","2704","1778096","2547","1258441","4620","4211","398","1254230","4581","1196776","4864","57454","1832","519655","4516","529065","610","72481","1429","70510","1446","1971","265","456584","1576","0400000US53","Washington"
"1396967","1365","681239","1049","527701","1032","369871","2453","1065","241","368806","2432","341655","2581","27151","1376","157830","2488","153538","153","23669","694","22923","685","746","177","129869","722","715728","891","530685","853","327368","2858","111","73","327257","2857","308445","3078","18812","1012","203317","2854","185043","205","22023","905","21544","880","479","134","163020","904","0400000US54","West Virginia"
"4072154","2744","2011162","1560","1600887","1484","1336498","3069","2217","314","1334281","3106","1288924","3567","45357","1323","264389","3000","410275","319","83623","1383","81744","1367","1879","209","326652","1402","2060992","1751","1570258","1642","1227169","3027","538","142","1226631","3032","1192534","2978","34097","1189","343089","2947","490734","314","65715","1333","64401","1309","1314","185","425019","1358","0400000US55","Wisconsin"
"424337","1014","215578","697","173452","669","143424","1189","2008","239","141416","1223","134922","1226","6494","603","30028","1210","42126","188","10698","658","10268","661","430","123","31428","645","208759","652","162833","613","119698","1152","360","129","119338","1166","114905","1263","4433","462","43135","1159","45926","168","7493","508","7229","510","264","117","38433","509","0400000US56","Wyoming"
"1823962","8069","840646","4728","644935","4637","394676","4127","1111","270","393565","4124","333099","4066","60466","2348","250259","3715","195711","1882","18948","907","18098","936","850","209","176763","2021","983316","4697","719879","4213","365497","4346","235","115","365262","4354","310417","4373","54845","1765","354382","4154","263437","1753","12611","698","11842","676","769","192","250826","1843","0400000US72","Puerto Rico"
