"C23002I_001E","C23002I_001M","C23002I_002E","C23002I_002M","C23002I_003E","C23002I_003M","C23002I_004E","C23002I_004M","C23002I_005E","C23002I_005M","C23002I_006E","C23002I_006M","C23002I_007E","C23002I_007M","C23002I_008E","C23002I_008M","C23002I_009E","C23002I_009M","C23002I_010E","C23002I_010M","C23002I_011E","C23002I_011M","C23002I_012E","C23002I_012M","C23002I_013E","C23002I_013M","C23002I_014E","C23002I_014M","C23002I_015E","C23002I_015M","C23002I_016E","C23002I_016M","C23002I_017E","C23002I_017M","C23002I_018E","C23002I_018M","C23002I_019E","C23002I_019M","C23002I_020E","C23002I_020M","C23002I_021E","C23002I_021M","C23002I_022E","C23002I_022M","C23002I_023E","C23002I_023M","C23002I_024E","C23002I_024M","C23002I_025E","C23002I_025M","C23002I_026E","C23002I_026M","C23002I_027E","C23002I_027M","GEO_ID","NAME"
"366101","675","191035","605","180165","645","147403","1395","238","124","147165","1419","138854","1506","8311","808","32762","1449","10870","195","2796","344","2662","329","134","68","8074","291","175066","497","162703","487","113715","1587","20","30","113695","1587","106066","1692","7629","700","48988","1657","12363","202","2148","296","1960","300","188","94","10215","344","0400000US41","Oregon"
"647429","804","328679","685","306043","723","224773","1926","367","174","224406","1930","205070","2029","19336","1220","81270","1990","22636","231","4381","419","3966","394","415","149","18255","420","318750","692","290264","696","190311","1875","59","45","190252","1878","171551","2216","18701","1061","99953","2084","28486","177","3749","399","3369","380","380","158","24737","440","0400000US42","Pennsylvania"
"116765","327","58145","271","54304","252","41074","882","287","116","40787","879","37319","981","3468","576","13230","888","3841","105","1037","264","978","260","59","55","2804","284","58620","257","53291","254","35964","791","95","78","35869","791","32700","916","3169","517","17327","798","5329","72","618","148","550","142","68","59","4711","143","0400000US44","Rhode Island"
"192056","457","103712","416","98237","408","81910","1020","3439","366","78471","1082","75772","1104","2699","415","16327","1047","5475","252","1453","222","1421","224","32","32","4022","310","88344","478","81792","533","50127","1255","1162","278","48965","1325","45381","1197","3584","511","31665","1235","6552","257","1118","206","1085","195","33","47","5434","279","0400000US45","South Carolina"
"21029","275","11675","325","11261","322","9490","301","229","97","9261","319","8585","330","676","223","1771","256","414","118","102","54","102","54","0","23","312","110","9354","287","8622","293","5845","421","20","22","5825","417","5385","414","440","194","2777","313","732","153","130","75","130","75","0","23","602","147","0400000US46","South Dakota"
"232558","780","124203","738","118337","771","100597","984","2148","357","98449","1026","95196","1140","3253","467","17740","1039","5866","334","1852","258","1814","262","38","49","4014","343","108355","701","101716","709","64070","1422","259","134","63811","1451","59286","1415","4525","543","37646","1274","6639","282","1076","238","1076","238","0","29","5563","321","0400000US47","Tennessee"
"7885257","2419","3949027","1898","3601849","2030","2886545","5057","16228","995","2870317","5217","2725969","5181","144348","2888","715304","5301","347178","449","82877","2266","79497","2308","3380","483","264301","2333","3936230","1962","3492968","1928","2190586","6989","2798","465","2187788","6948","2058971","6428","128817","2847","1302382","7096","443262","393","60445","1780","58349","1799","2096","320","382817","1740","0400000US48","Texas"
"289117","532","148143","465","139820","467","118608","949","393","143","118215","953","113695","1093","4520","598","21212","845","8323","118","2514","301","2500","299","14","19","5809","307","140974","356","130643","372","90683","1227","76","76","90607","1232","86325","1342","4282","512","39960","1309","10331","152","1603","271","1578","272","25","29","8728","281","0400000US49","Utah"
"9220","88","4486","151","4146","165","3122","211","1","3","3121","211","2973","190","148","105","1024","164","340","112","109","90","101","89","8","13","231","82","4734","162","4185","168","3153","219","0","22","3153","219","2957","220","196","94","1032","194","549","94","85","45","85","45","0","22","464","86","0400000US50","Vermont"
"560654","1046","289499","1045","274847","1017","237737","1240","12977","1013","224760","1471","216133","1491","8627","761","37110","1482","14652","347","5214","454","4974","416","240","119","9438","539","271155","883","250496","874","180043","1983","3135","446","176908","1980","166362","1763","10546","929","70453","1962","20659","372","4533","383","4409","385","124","83","16126","511","0400000US51","Virginia"
"623358","756","323949","558","306196","601","253390","1550","6675","552","246715","1619","233035","1814","13680","839","52806","1543","17753","146","4599","508","4393","500","206","87","13154","518","299409","644","278969","670","187102","1875","1291","230","185811","1888","172704","2097","13107","980","91867","1938","20440","158","3478","380","3240","405","238","140","16962","409","0400000US53","Washington"
"20294","536","10646","417","9983","433","6418","397","40","46","6378","394","6138","405","240","104","3565","351","663","153","78","41","51","35","27","22","585","150","9648","449","8509","435","5344","460","54","62","5290","466","5051","423","239","112","3165","353","1139","188","167","92","129","75","38","42","972","179","0400000US54","West Virginia"
"258001","456","133569","384","126013","397","102061","788","225","96","101836","801","96715","848","5121","483","23952","756","7556","219","1672","197","1591","195","81","53","5884","257","124432","454","115975","428","81108","1074","106","54","81002","1080","76294","1107","4708","430","34867","1121","8457","155","1278","214","1263","214","15","19","7179","252","0400000US55","Wisconsin"
"39628","266","21149","312","19349","312","15325","384","292","84","15033","391","13938","464","1095","275","4024","457","1800","138","368","112","351","106","17","28","1432","153","18479","296","16439","277","11646","557","73","55","11573","559","11093","554","480","155","4793","466","2040","127","342","112","330","112","12","20","1698","155","0400000US56","Wyoming"
"2723611","2260","1274522","1378","993747","1299","607391","4013","1174","283","606217","4027","506008","4436","100209","2643","386356","4126","280775","446","26118","1019","24672","1078","1446","272","254657","993","1449089","1586","1082788","1623","557758","4526","236","100","557522","4528","465310","4684","92212","2680","525030","4595","366301","425","17640","772","16569","746","1071","223","348661","911","0400000US72","Puerto Rico"
