"GEO_ID","NAME","C23002I_001E","C23002I_001M","C23002I_002E","C23002I_002M","C23002I_003E","C23002I_003M","C23002I_004E","C23002I_004M","C23002I_005E","C23002I_005M","C23002I_006E","C23002I_006M","C23002I_007E","C23002I_007M","C23002I_008E","C23002I_008M","C23002I_009E","C23002I_009M","C23002I_010E","C23002I_010M","C23002I_011E","C23002I_011M","C23002I_012E","C23002I_012M","C23002I_013E","C23002I_013M","C23002I_014E","C23002I_014M","C23002I_015E","C23002I_015M","C23002I_016E","C23002I_016M","C23002I_017E","C23002I_017M","C23002I_018E","C23002I_018M","C23002I_019E","C23002I_019M","C23002I_020E","C23002I_020M","C23002I_021E","C23002I_021M","C23002I_022E","C23002I_022M","C23002I_023E","C23002I_023M","C23002I_024E","C23002I_024M","C23002I_025E","C23002I_025M","C23002I_026E","C23002I_026M","C23002I_027E","C23002I_027M"
"0400000US11","District of Columbia","56157","169","28581","129","26989","129","22949","394","379","130","22570","413","21675","399","895","263","4040","392","1592","*****","496","162","496","162","0","29","1096","162","27576","109","25035","109","19532","453","64","52","19468","461","18331","488","1137","278","5503","466","2541","*****","810","174","741","181","69","54","1731","174"
"0400000US12","Florida","4052600","1772","1982764","1400","1732673","1439","1392278","4808","7628","818","1384650","4857","1311542","5433","73108","2314","340395","5127","250091","253","51825","1457","49391","1399","2434","262","198266","1546","2069836","1260","1716970","1233","1167799","5460","1548","319","1166251","5425","1085711","5761","80540","2454","549171","5566","352866","245","37429","1310","35900","1342","1529","257","315437","1283"
"0400000US13","Georgia","644103","1178","340892","1103","326247","1109","272034","1849","5605","566","266429","1937","257408","2116","9021","740","54213","1715","14645","536","4367","415","4182","422","185","102","10278","658","303211","973","283942","935","174790","2331","779","207","174011","2298","160986","2254","13025","918","109152","2393","19269","541","2755","392","2655","382","100","86","16514","575"
"0400000US16","Idaho","137536","469","71356","397","66961","435","54657","916","328","140","54329","912","51520","961","2809","463","12304","831","4395","193","1383","264","1302","264","81","51","3012","270","66180","405","61443","392","40611","977","121","70","40490","996","37933","1054","2557","375","20832","1054","4737","240","639","154","639","154","0","28","4098","266"
"0400000US15","Hawaii","96222","255","49421","164","46074","163","36989","638","5568","445","31421","740","29377","761","2044","380","9085","654","3347","*****","700","144","633","135","67","67","2647","144","46801","198","42640","198","29493","767","921","213","28572","793","26753","735","1819","313","13147","748","4161","*****","650","132","617","131","33","36","3511","132"
"0400000US17","Illinois","1534115","1202","786771","810","730468","828","606499","2469","1961","389","604538","2478","564095","2693","40443","1750","123969","2397","56303","249","11813","636","11259","605","554","170","44490","665","747344","966","680231","1019","459573","2472","494","168","459079","2476","423005","2639","36074","1137","220658","2276","67113","248","7930","643","7734","638","196","71","59183","684"
"0400000US18","Indiana","295911","666","153937","623","144812","631","117956","1096","179","120","117777","1099","111380","1098","6397","598","26856","1063","9125","279","2046","267","1897","262","149","84","7079","322","141974","602","131697","638","83852","1247","78","79","83774","1246","77928","1322","5846","507","47845","1313","10277","314","1488","259","1407","250","81","53","8789","348"
"0400000US19","Iowa","118002","390","61686","423","58994","436","49781","711","75","53","49706","710","46641","735","3065","390","9213","598","2692","192","795","149","714","139","81","54","1897","185","56316","383","53122","413","36274","735","37","42","36237","732","33607","745","2630","322","16848","779","3194","167","463","105","454","108","9","9","2731","188"
"0400000US20","Kansas","222376","471","116046","451","108889","479","91356","969","2401","288","88955","963","84198","1014","4757","468","17533","911","7157","251","2313","252","2263","251","50","32","4844","308","106330","426","98380","417","67509","1097","287","107","67222","1098","62124","1141","5098","443","30871","1076","7950","156","1313","203","1222","201","91","57","6637","226"
"0400000US21","Kentucky","102879","758","57342","718","54658","708","45886","776","1710","259","44176","803","42021","794","2155","313","8772","733","2684","263","838","161","712","161","126","92","1846","277","45537","571","42419","578","27175","717","153","93","27022","712","24985","762","2037","345","15244","795","3118","227","473","134","473","134","0","27","2645","223"
"0400000US22","Louisiana","168586","526","92848","469","84841","493","68774","869","1949","255","66825","886","63253","1033","3572","471","16067","879","8007","324","2434","315","2361","312","73","50","5573","373","75738","382","66628","417","41185","1075","159","107","41026","1096","37791","1166","3235","418","25443","1118","9110","226","1310","209","1254","209","56","36","7800","303"
"0400000US23","Maine","15248","142","7619","190","7017","200","5422","298","207","114","5215","337","4978","367","237","119","1595","256","602","92","202","69","165","63","37","40","400","98","7629","161","6776","175","5057","302","0","23","5057","302","4892","312","165","78","1719","234","853","104","140","73","140","73","0","23","713","110"
"0400000US24","Maryland","407692","610","213283","422","201986","448","177779","809","2282","370","175497","906","167950","1118","7547","638","24207","872","11297","154","4284","378","3977","376","307","177","7013","393","194409","417","178714","438","128241","1361","602","173","127639","1370","118444","1419","9195","756","50473","1338","15695","129","3304","373","3176","346","128","76","12391","403"
"0400000US25","Massachusetts","570067","736","280443","484","261674","486","195456","1722","484","164","194972","1718","178562","1764","16410","1160","66218","1783","18769","75","4635","448","4350","450","285","117","14134","451","289624","543","262861","541","182324","1907","57","37","182267","1904","166429","2023","15838","1115","80537","1848","26763","67","3188","377","3049","358","139","80","23575","370"
"0400000US26","Michigan","335917","517","170214","420","157518","385","125196","1031","250","97","124946","1027","115022","1243","9924","688","32322","1005","12696","131","2272","273","2148","260","124","59","10424","266","165703","406","150694","414","99764","1189","120","65","99644","1200","91706","1338","7938","647","50930","1192","15009","121","1672","260","1619","260","53","53","13337","271"
