C23002I_001E,C23002I_001M,C23002I_002E,C23002I_002M,C23002I_003E,C23002I_003M,C23002I_004E,C23002I_004M,C23002I_005E,C23002I_005M,C23002I_006E,C23002I_006M,C23002I_007E,C23002I_007M,C23002I_008E,C23002I_008M,C23002I_009E,C23002I_009M,C23002I_010E,C23002I_010M,C23002I_011E,C23002I_011M,C23002I_012E,C23002I_012M,C23002I_013E,C23002I_013M,C23002I_014E,C23002I_014M,C23002I_015E,C23002I_015M,C23002I_016E,C23002I_016M,C23002I_017E,C23002I_017M,C23002I_018E,C23002I_018M,C23002I_019E,C23002I_019M,C23002I_020E,C23002I_020M,C23002I_021E,C23002I_021M,C23002I_022E,C23002I_022M,C23002I_023E,C23002I_023M,C23002I_024E,C23002I_024M,C23002I_025E,C23002I_025M,C23002I_026E,C23002I_026M,C23002I_027E,C23002I_027M,GEO_ID,NAME
140553,3261,69264,1972,65304,1988,57808,1899,19,30,57789,1899,56263,1807,1526,339,7496,765,3960,405,1426,269,1373,264,53,54,2534,328,71289,2062,66601,2047,47444,1440,14,22,47430,1436,45233,1366,2197,359,19157,1290,4688,452,1053,260,989,251,64,53,3635,409,5001600US4824,"Congressional District 24 (116th Congress), Texas"
105262,2493,53190,1407,49645,1415,39692,1452,2044,357,37648,1415,36054,1392,1594,439,9953,682,3545,281,884,165,877,165,7,12,2661,305,52072,1611,48122,1543,31010,1122,201,142,30809,1139,29058,1161,1751,284,17112,988,3950,301,662,176,623,172,39,49,3288,292,5001600US4825,"Congressional District 25 (116th Congress), Texas"
111036,1613,55123,1214,52191,1207,45479,1284,56,47,45423,1288,43927,1269,1496,324,6712,642,2932,255,1047,213,1033,211,14,18,1885,262,55913,1063,52038,1037,36747,1163,14,21,36733,1162,35170,1160,1563,286,15291,993,3875,319,738,193,738,193,0,32,3137,306,5001600US4826,"Congressional District 26 (116th Congress), Texas"
288138,1289,141446,939,123889,880,98767,1269,142,74,98625,1254,92831,1294,5794,825,25122,1242,17557,226,3748,424,3621,404,127,114,13809,441,146692,747,123977,697,78715,1327,200,141,78515,1314,72869,1366,5646,629,45262,1389,22715,231,2974,384,2857,372,117,106,19741,434,5001600US4827,"Congressional District 27 (116th Congress), Texas"
410188,3007,197119,1866,174507,1703,129479,2036,347,178,129132,2085,119660,2060,9472,822,45028,1567,22612,568,4708,463,4556,443,152,76,17904,762,213069,1975,182993,1809,108645,1987,72,63,108573,1987,100522,1791,8051,772,74348,1994,30076,719,3777,409,3633,409,144,85,26299,748,5001600US4828,"Congressional District 28 (116th Congress), Texas"
408877,4296,209824,3222,193506,3063,161901,2675,109,82,161792,2679,152858,2559,8934,845,31605,1558,16318,744,4082,509,3862,514,220,100,12236,734,199053,2508,178442,2479,97211,2235,0,32,97211,2235,90761,2235,6450,568,81231,2279,20611,855,2595,396,2545,396,50,58,18016,706,5001600US4829,"Congressional District 29 (116th Congress), Texas"
205031,2891,103633,1699,97722,1757,80242,1654,35,31,80207,1651,77555,1687,2652,417,17480,1145,5911,493,1663,303,1561,289,102,95,4248,414,101398,1984,94452,1970,53755,1593,7,12,53748,1592,50893,1542,2855,460,40697,1726,6946,576,913,226,876,216,37,52,6033,550,5001600US4830,"Congressional District 30 (116th Congress), Texas"
148403,1287,73091,642,68315,640,57829,908,3306,459,54523,1081,51421,971,3102,519,10486,849,4776,36,1352,230,1279,229,73,51,3424,233,75312,765,69054,751,48602,1190,377,175,48225,1179,45970,1168,2255,469,20452,1057,6258,73,941,178,910,177,31,33,5317,188,5001600US4831,"Congressional District 31 (116th Congress), Texas"
142721,2970,74335,1948,70503,1981,61438,1809,60,55,61378,1806,59334,1812,2044,417,9065,741,3832,424,1481,298,1442,291,39,41,2351,334,68386,1819,63315,1763,42356,1524,12,20,42344,1525,39874,1509,2470,470,20959,1255,5071,403,1232,270,1115,236,117,113,3839,352,5001600US4832,"Congressional District 32 (116th Congress), Texas"
345308,3914,178938,2444,166723,2437,142948,2435,62,64,142886,2439,137355,2407,5531,637,23775,1157,12215,587,3080,394,2968,397,112,49,9135,505,166370,2365,152740,2311,88981,2038,25,30,88956,2033,82319,1920,6637,658,63759,1805,13630,724,1629,249,1552,238,77,70,12001,722,5001600US4833,"Congressional District 33 (116th Congress), Texas"
