"B23006_001E","B23006_001M","B23006_002E","B23006_002M","B23006_003E","B23006_003M","B23006_004E","B23006_004M","B23006_005E","B23006_005M","B23006_006E","B23006_006M","B23006_007E","B23006_007M","B23006_008E","B23006_008M","B23006_009E","B23006_009M","B23006_010E","B23006_010M","B23006_011E","B23006_011M","B23006_012E","B23006_012M","B23006_013E","B23006_013M","B23006_014E","B23006_014M","B23006_015E","B23006_015M","B23006_016E","B23006_016M","B23006_017E","B23006_017M","B23006_018E","B23006_018M","B23006_019E","B23006_019M","B23006_020E","B23006_020M","B23006_021E","B23006_021M","B23006_022E","B23006_022M","B23006_023E","B23006_023M","B23006_024E","B23006_024M","B23006_025E","B23006_025M","B23006_026E","B23006_026M","B23006_027E","B23006_027M","B23006_028E","B23006_028M","B23006_029E","B23006_029M","GEO_ID","NAME"
"5481794","2399","639441","7520","370714","5993","113","89","370601","5989","338204","5638","32397","1567","268727","5305","1455929","11875","1031473","10261","4282","490","1027191","10208","969259","10182","57932","2006","424456","5974","1592232","9694","1255772","9450","16698","983","1239074","9496","1179904","8951","59170","2242","336460","4672","1794192","13958","1549788","13445","9983","880","1539805","13205","1499589","12904","40216","1529","244404","3702","0400000US13","Georgia"
"739399","211","44510","1626","29050","1331","55","44","28995","1334","27250","1298","1745","313","15460","890","198422","3183","151426","2876","4777","571","146649","2765","139425","2745","7224","551","46996","1589","247270","3302","201629","2866","11399","736","190230","2831","183094","2743","7136","656","45641","1603","249197","3126","214985","2817","9287","624","205698","2793","201522","2769","4176","448","34212","1191","0400000US15","Hawaii"
"850667","892","76726","2539","50880","1922","0","28","50880","1922","48134","1778","2746","383","25846","1352","227142","3442","165441","3229","380","176","165061","3226","158652","3205","6409","667","61701","1995","308642","3658","235834","3272","1808","393","234026","3236","226418","3348","7608","715","72808","1856","238157","3987","199508","3750","788","224","198720","3722","194529","3691","4191","540","38649","1756","0400000US16","Idaho"
"6743765","1188","648402","6092","400950","4580","0","27","400950","4580","363996","4326","36954","1378","247452","4099","1611167","11576","1193527","10035","1144","326","1192383","10006","1106823","9616","85560","2424","417640","5124","1986954","8055","1608708","8095","4826","555","1603882","8002","1522266","8046","81616","2271","378246","4481","2497242","14727","2186736","14478","3859","450","2182877","14549","2124927","14452","57950","1832","310506","3554","0400000US17","Illinois"
"3406905","1384","346849","5533","198935","3697","54","63","198881","3688","180708","3543","18173","1094","147914","3125","1059488","8269","775623","6701","505","207","775118","6675","736821","6220","38297","1564","283865","4205","1041580","6792","844643","6218","1388","323","843255","6191","813437","5831","29818","1479","196937","3044","958988","9392","843598","8806","1106","202","842492","8803","826780","8808","15712","925","115390","2381","0400000US18","Indiana"
"1567263","1123","111995","2660","73308","2057","0","23","73308","2057","68228","1983","5080","441","38687","1450","429164","4545","334761","3753","160","95","334601","3748","320949","3512","13652","748","94403","2293","544105","3711","462006","3764","632","142","461374","3758","448236","3972","13138","809","82099","1751","481999","5219","432196","4936","524","136","431672","4941","425656","4961","6016","491","49803","1269","0400000US19","Iowa"
"1452952","1193","127007","2865","83076","2171","88","63","82988","2174","77811","2081","5177","620","43931","1383","342822","3395","257311","2959","1450","251","255861","2940","244788","2893","11073","716","85511","1917","475045","4224","388655","3731","5133","573","383522","3712","371569","3807","11953","912","86390","1821","508078","5290","446831","5240","4145","482","442686","5150","435101","5050","7585","617","61247","1369","0400000US20","Kansas"
"2308955","1400","264863","4816","115779","2905","51","48","115728","2910","103298","2860","12430","781","149084","3217","733281","5860","487073","4932","1095","188","485978","4929","457827","4575","28151","1330","246208","3318","718774","5406","547879","4665","3971","444","543908","4543","519977","4566","23931","1253","170895","2786","592037","7749","512969","7045","2783","321","510186","7041","499673","7097","10513","632","79068","1992","0400000US21","Kentucky"
"2427135","1337","328159","4670","164739","2853","44","42","164695","2844","143583","2740","21112","1292","163420","3519","804933","7946","552064","6993","1845","329","550219","6951","514268","6974","35951","1443","252869","4162","690756","5572","529697","5253","5318","629","524379","5107","498723","5186","25656","1262","161059","3024","603287","6805","518413","6375","4043","442","514370","6313","502266","6060","12104","907","84874","1853","0400000US22","Louisiana"
"706549","489","41163","1463","20763","936","33","43","20730","935","18741","887","1989","269","20400","1107","216314","2708","158085","2580","230","93","157855","2585","150123","2526","7732","560","58229","1613","220520","2304","175968","2416","703","199","175265","2404","169989","2288","5276","532","44552","1331","228552","2866","200570","2801","625","199","199945","2824","196768","2833","3177","391","27982","964","0400000US23","Maine"
