"GEO_ID","NAME","C23002I_001E","C23002I_001M","C23002I_002E","C23002I_002M","C23002I_003E","C23002I_003M","C23002I_004E","C23002I_004M","C23002I_005E","C23002I_005M","C23002I_006E","C23002I_006M","C23002I_007E","C23002I_007M","C23002I_008E","C23002I_008M","C23002I_009E","C23002I_009M","C23002I_010E","C23002I_010M","C23002I_011E","C23002I_011M","C23002I_012E","C23002I_012M","C23002I_013E","C23002I_013M","C23002I_014E","C23002I_014M","C23002I_015E","C23002I_015M","C23002I_016E","C23002I_016M","C23002I_017E","C23002I_017M","C23002I_018E","C23002I_018M","C23002I_019E","C23002I_019M","C23002I_020E","C23002I_020M","C23002I_021E","C23002I_021M","C23002I_022E","C23002I_022M","C23002I_023E","C23002I_023M","C23002I_024E","C23002I_024M","C23002I_025E","C23002I_025M","C23002I_026E","C23002I_026M","C23002I_027E","C23002I_027M"
"5001600US1716","Congressional District 16 (116th Congress), Illinois","44466","782","23095","485","21785","501","17501","564","5","8","17496","565","16001","571","1495","307","4284","365","1310","171","285","108","261","98","24","39","1025","165","21371","460","19964","487","14358","537","0","26","14358","537","13076","562","1282","246","5606","441","1407","121","217","96","213","96","4","5","1190","139"
"5001600US4104","Congressional District 4 (116th Congress), Oregon","43134","428","22160","276","20601","282","15898","485","39","46","15859","479","14659","465","1200","263","4703","437","1559","98","292","97","272","91","20","22","1267","119","20974","264","19021","270","12798","502","0","28","12798","502","11472","571","1326","279","6223","448","1953","144","433","129","397","123","36","46","1520","173"
"5001600US1602","Congressional District 2 (116th Congress), Idaho","75901","862","39927","554","37715","565","31577","780","308","134","31269","796","29868","767","1401","246","6138","584","2212","171","672","165","611","160","61","40","1540","206","35974","587","33745","547","22210","739","69","51","22141","745","20908","745","1233","252","11535","740","2229","170","370","127","370","127","0","28","1859","209"
"5001600US1711","Congressional District 11 (116th Congress), Illinois","135495","2185","70535","1247","66446","1212","56675","1278","59","65","56616","1274","53791","1199","2825","441","9771","677","4089","314","933","200","893","193","40","31","3156","318","64960","1384","60453","1303","41711","1327","31","53","41680","1325","38925","1311","2755","360","18742","969","4507","343","547","173","536","170","11","19","3960","333"
"5001600US4902","Congressional District 2 (116th Congress), Utah","78499","1663","40700","1131","38459","1103","31937","1068","55","47","31882","1076","30199","1026","1683","373","6522","617","2241","232","667","163","667","163","0","27","1574","211","37799","1016","34731","963","23106","1027","0","27","23106","1027","21674","1015","1432","300","11625","815","3068","296","531","166","531","166","0","27","2537","288"
"5001600US0631","Congressional District 31 (116th Congress), California","282720","3316","137902","2029","127536","2083","97354","2171","70","56","97284","2170","88657","2059","8627","742","30182","1563","10366","565","2050","327","1935","322","115","67","8316","565","144818","2071","130225","1927","80854","1885","11","17","80843","1884","72181","1793","8662","601","49371","1691","14593","710","1315","275","1195","267","120","87","13278","627"
"5001600US4707","Congressional District 7 (116th Congress), Tennessee","25215","418","12973","294","12320","287","9994","393","1686","254","8308","445","8060","431","248","80","2326","386","653","147","218","120","218","120","0","29","435","122","12242","259","11535","276","7472","411","222","125","7250","419","6441","438","809","207","4063","406","707","72","192","91","192","91","0","29","515","109"
"5001600US1717","Congressional District 17 (116th Congress), Illinois","42093","650","22036","489","20246","491","15441","530","5","8","15436","529","14143","485","1293","274","4805","422","1790","122","374","104","342","102","32","27","1416","138","20057","377","18148","372","12775","473","0","26","12775","473","11671","454","1104","225","5373","495","1909","135","205","77","205","77","0","26","1704","146"
"5001600US0621","Congressional District 21 (116th Congress), California","368342","2766","195720","1841","180406","1713","127090","2106","728","210","126362","2147","112722","2123","13640","1048","53316","1520","15314","575","3013","365","2755","354","258","127","12301","588","172622","1706","156083","1792","89235","1543","193","89","89042","1547","76412","1671","12630","1011","66848","1581","16539","523","1402","254","1303","240","99","60","15137","503"
"5001600US3706","Congressional District 6 (116th Congress), North Carolina","47812","831","25276","595","24145","625","20510","592","27","30","20483","595","19500","693","983","269","3635","391","1131","141","348","134","340","134","8","15","783","156","22536","476","21464","469","13385","537","17","29","13368","536","12244","550","1124","245","8079","506","1072","134","193","85","193","85","0","29","879","137"
"5001600US4801","Congressional District 1 (116th Congress), Texas","80298","480","42140","349","39622","373","31457","546","14","19","31443","546","29852","641","1591","308","8165","543","2518","197","687","164","687","164","0","31","1831","212","38158","313","35764","329","20938","715","0","31","20938","715","19549","759","1389","322","14826","705","2394","151","450","130","450","130","0","31","1944","177"
