C23002A_001E,C23002A_001M,C23002A_002E,C23002A_002M,C23002A_003E,C23002A_003M,C23002A_004E,C23002A_004M,C23002A_005E,C23002A_005M,C23002A_006E,C23002A_006M,C23002A_007E,C23002A_007M,C23002A_008E,C23002A_008M,C23002A_009E,C23002A_009M,C23002A_010E,C23002A_010M,C23002A_011E,C23002A_011M,C23002A_012E,C23002A_012M,C23002A_013E,C23002A_013M,C23002A_014E,C23002A_014M,C23002A_015E,C23002A_015M,C23002A_016E,C23002A_016M,C23002A_017E,C23002A_017M,C23002A_018E,C23002A_018M,C23002A_019E,C23002A_019M,C23002A_020E,C23002A_020M,C23002A_021E,C23002A_021M,C23002A_022E,C23002A_022M,C23002A_023E,C23002A_023M,C23002A_024E,C23002A_024M,C23002A_025E,C23002A_025M,C23002A_026E,C23002A_026M,C23002A_027E,C23002A_027M,GEO_ID,NAME
311333,3791,154581,2337,128464,2305,103286,2018,303,149,102983,2007,98472,1997,4511,460,25178,1221,26117,856,5988,478,5705,441,283,108,20129,820,156752,2210,124813,2085,87538,1749,31,35,87507,1748,83881,1632,3626,390,37275,1275,31939,831,4864,415,4690,399,174,72,27075,869,5001600US0647,"Congressional District 47 (116th Congress), California"
405999,3383,200652,2322,157089,2255,132685,2066,279,107,132406,2092,126936,2036,5470,518,24404,1131,43563,1052,12834,697,12206,711,628,173,30729,909,205347,2320,153317,2176,110229,2036,70,62,110159,2027,106151,2002,4008,452,43088,1276,52030,1009,8531,454,8188,434,343,125,43499,1002,5001600US0648,"Congressional District 48 (116th Congress), California"
474146,4131,237823,2742,192948,2477,164364,2394,17439,1203,146925,2274,140672,2156,6253,561,28584,1360,44875,1074,11861,672,11485,633,376,140,33014,987,236323,2745,182454,2494,127836,2320,1165,259,126671,2304,120548,2259,6123,708,54618,1638,53869,1120,8553,646,8227,644,326,115,45316,1034,5001600US0649,"Congressional District 49 (116th Congress), California"
462237,4163,229626,2887,186429,2670,151061,2625,2753,398,148308,2633,140849,2509,7459,786,35368,1336,43197,980,10400,672,10027,653,373,140,32797,997,232611,2871,181181,2652,121084,1983,413,124,120671,1979,114411,2014,6260,494,60097,1812,51430,1138,7638,537,7365,542,273,104,43792,1150,5001600US0650,"Congressional District 50 (116th Congress), California"
371531,4436,186960,2653,161068,2581,120798,1901,7432,876,113366,1856,102551,1781,10815,814,40270,1723,25892,653,4257,412,4076,395,181,95,21635,650,184571,2610,152694,2292,99329,2184,1233,262,98096,2141,86376,2081,11720,883,53365,1619,31877,1022,3529,320,3245,309,284,151,28348,990,5001600US0651,"Congressional District 51 (116th Congress), California"
436560,3229,224007,2231,184031,2156,153730,2342,13352,1119,140378,2326,134439,2292,5939,630,30301,1604,39976,953,10303,577,9845,586,458,122,29673,945,212553,2449,165545,2329,120758,2127,1373,263,119385,2105,114147,2065,5238,491,44787,1511,47008,1198,7320,534,7144,548,176,76,39688,1127,5001600US0652,"Congressional District 52 (116th Congress), California"
415818,4036,207010,3022,175280,2866,143833,2764,5740,577,138093,2751,130264,2724,7829,740,31447,1563,31730,910,7129,466,6813,450,316,103,24601,842,208808,2464,168558,2359,123613,2126,898,265,122715,2102,115610,2020,7105,601,44945,1657,40250,1038,5912,565,5804,570,108,58,34338,1091,5001600US0653,"Congressional District 53 (116th Congress), California"
543178,2930,273011,1711,236324,1626,204023,1654,314,106,203709,1675,196231,1698,7478,586,32301,1263,36687,407,10107,517,9784,508,323,115,26580,581,270167,1738,223694,1619,175031,1700,31,25,175000,1702,169627,1751,5373,505,48663,1554,46473,456,7944,470,7743,473,201,84,38529,701,5001600US0801,"Congressional District 1 (116th Congress), Colorado"
612214,1727,308555,1193,255349,1221,211117,1704,193,75,210924,1699,201615,1607,9309,775,44232,1457,53206,584,15027,690,14617,682,410,110,38179,786,303659,1281,243830,1338,183132,1936,71,69,183061,1944,176242,2058,6819,704,60698,1722,59829,583,11365,531,11101,558,264,108,48464,635,5001600US0802,"Congressional District 2 (116th Congress), Colorado"
539375,1708,269980,1177,209817,1109,166761,1556,247,89,166514,1543,156912,1769,9602,820,43056,1298,60163,369,13872,592,13434,593,438,102,46291,632,269395,1060,203647,949,142681,1612,32,39,142649,1608,135565,1691,7084,551,60966,1426,65748,351,10374,589,10019,618,355,125,55374,663,5001600US0803,"Congressional District 3 (116th Congress), Colorado"
577846,1993,289611,1453,241515,1506,200983,1756,667,189,200316,1763,192790,1742,7526,570,40532,1394,48096,499,13232,530,12746,517,486,157,34864,755,288235,1306,232084,1266,168106,1722,95,53,168011,1726,161605,1797,6406,559,63978,1599,56151,559,9723,536,9414,531,309,113,46428,683,5001600US0804,"Congressional District 4 (116th Congress), Colorado"
523873,1660,266762,943,220999,912,176870,1361,19106,892,157764,1507,149207,1533,8557,695,44129,1259,45763,246,10013,543,9751,537,262,88,35750,568,257111,1036,203886,1055,144218,1758,3329,426,140889,1815,133491,1782,7398,654,59668,1544,53225,258,7881,498,7669,489,212,102,45344,514,5001600US0805,"Congressional District 5 (116th Congress), Colorado"
474923,2935,232850,1867,195720,1830,169572,1731,1404,271,168168,1750,162379,1771,5789,497,26148,1123,37130,446,10454,509,10210,499,244,88,26676,624,242073,1905,196005,1759,150132,1814,244,99,149888,1815,144569,1838,5319,571,45873,1217,46068,591,8294,535,8144,535,150,77,37774,731,5001600US0806,"Congressional District 6 (116th Congress), Colorado"
552614,2797,273678,1779,231087,1820,196450,1888,299,160,196151,1887,188166,1858,7985,668,34637,1262,42591,480,10389,506,10084,497,305,97,32202,595,278936,1657,224253,1522,171640,1470,84,83,171556,1472,165797,1470,5759,562,52613,1650,54683,514,9052,560,8856,556,196,83,45631,699,5001600US0807,"Congressional District 7 (116th Congress), Colorado"
414464,2280,198029,1481,154882,1348,128250,1421,352,123,127898,1413,121433,1340,6465,567,26632,912,43147,610,11142,620,10722,613,420,112,32005,730,216435,1646,157889,1405,123353,1537,26,29,123327,1538,118585,1548,4742,491,34536,1284,58546,742,9368,514,9012,523,356,116,49178,743,5001600US0901,"Congressional District 1 (116th Congress), Connecticut"
510843,1542,251318,1243,198855,1093,163519,1319,5793,444,157726,1387,149759,1491,7967,704,35336,1009,52463,494,13638,643,13147,607,491,126,38825,645,259525,1162,196119,1050,150770,1417,466,148,150304,1453,143035,1538,7269,586,45349,1309,63406,503,11191,624,10892,614,299,101,52215,698,5001600US0902,"Congressional District 2 (116th Congress), Connecticut"
442784,2696,210731,1756,166066,1613,134040,1773,294,138,133746,1749,125829,1711,7917,659,32026,1181,44665,703,11714,513,11409,527,305,98,32951,763,232053,1674,172601,1551,131988,2029,47,37,131941,2027,125360,1932,6581,567,40613,1375,59452,822,11363,635,10927,632,436,163,48089,822,5001600US0903,"Congressional District 3 (116th Congress), Connecticut"
434080,2628,209070,1774,167181,1645,140028,1723,77,52,139951,1710,131693,1571,8258,655,27153,997,41889,570,14005,570,13349,516,656,163,27884,659,225010,1479,171324,1314,121794,1584,0,29,121794,1584,115128,1527,6666,626,49530,1368,53686,556,10553,519,10229,505,324,107,43133,636,5001600US0904,"Congressional District 4 (116th Congress), Connecticut"
471772,2981,227888,2305,178725,2135,147177,2063,173,77,147004,2075,139240,2011,7764,620,31548,1208,49163,845,12405,624,11970,639,435,106,36758,829,243884,1910,180999,1715,136183,2042,54,46,136129,2043,129338,2017,6791,558,44816,1573,62885,956,11337,525,10971,495,366,136,51548,1047,5001600US0905,"Congressional District 5 (116th Congress), Connecticut"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5001600US09ZZ,"Congressional Districts not defined (116th Congress), Connecticut"
550615,1105,265459,736,201182,736,161526,1291,2151,293,159375,1283,151371,1324,8004,750,39656,1057,64277,162,13984,529,13502,538,482,120,50293,539,285156,742,207149,744,149498,1594,515,227,148983,1626,142223,1596,6760,623,57651,1540,78007,152,11520,598,11080,572,440,177,66487,624,5001600US1000,"Congressional District (at Large) (116th Congress), Delaware"
254127,1249,126697,770,112068,736,98758,881,1828,239,96930,900,94338,1034,2592,369,13310,829,14629,177,5670,396,5553,405,117,74,8959,430,127430,800,110877,745,94456,1092,390,122,94066,1114,91417,1134,2649,397,16421,800,16553,235,4810,349,4656,346,154,84,11743,372,5001600US1198,"Delegate District (at Large) (116th Congress), District of Columbia"
489570,1299,246325,792,195661,771,155051,1266,15388,880,139663,1374,132684,1511,6979,696,40610,1268,50664,165,9668,601,9393,603,275,94,40996,617,243245,739,184130,694,124891,1664,2153,377,122738,1727,116772,1756,5966,679,59239,1484,59115,218,6736,469,6558,455,178,114,52379,530,5001600US1201,"Congressional District 1 (116th Congress), Florida"
490331,2115,246264,1419,185718,1439,128378,1821,2622,338,125756,1792,118000,1723,7756,660,57340,1521,60546,625,9953,614,9545,586,408,110,50593,814,244067,1411,175649,1332,112712,1793,354,147,112358,1778,106384,1828,5974,593,62937,1611,68418,658,8408,602,8141,602,267,112,60010,823,5001600US1202,"Congressional District 2 (116th Congress), Florida"
466085,2281,229040,1402,180037,1306,129870,1918,1252,273,128618,1968,120692,1977,7926,818,50167,1863,49003,576,8220,561,7930,562,290,125,40783,698,237045,1382,180872,1261,117663,1806,260,163,117403,1801,110536,1883,6867,807,63209,1728,56173,639,7549,652,7424,656,125,58,48624,711,5001600US1203,"Congressional District 3 (116th Congress), Florida"
535891,3326,262092,2021,208439,1716,174340,1803,8202,885,166138,1917,160020,1914,6118,628,34099,1600,53653,681,12790,714,12340,716,450,128,40863,858,273799,1995,209285,1802,149617,1977,1392,323,148225,1892,142138,1853,6087,598,59668,1659,64514,723,8803,657,8607,637,196,109,55711,884,5001600US1204,"Congressional District 4 (116th Congress), Florida"
277754,3022,138835,2150,114586,1855,83909,1826,918,254,82991,1823,78060,1707,4931,570,30677,1212,24249,742,4812,375,4687,373,125,79,19437,727,138919,1828,108873,1755,74133,1488,163,86,73970,1496,69669,1561,4301,487,34740,1307,30046,684,3707,380,3643,372,64,40,26339,724,5001600US1205,"Congressional District 5 (116th Congress), Florida"
542825,2748,262140,1523,180806,1419,133349,1903,269,157,133080,1894,126701,1871,6379,699,47457,1586,81334,659,12778,724,12144,679,634,159,68556,960,280685,1812,186721,1670,122911,1920,40,48,122871,1913,117407,1923,5464,583,63810,1761,93964,676,10901,706,10589,716,312,105,83063,864,5001600US1206,"Congressional District 6 (116th Congress), Florida"
494612,3721,239011,2131,199406,2097,157079,1782,612,270,156467,1755,149355,1831,7112,722,42327,1559,39605,719,10371,674,10037,666,334,106,29234,829,255601,2615,203517,2375,141792,1859,77,72,141715,1854,136034,1841,5681,568,61725,2173,52084,831,7654,527,7363,512,291,93,44430,867,5001600US1207,"Congressional District 7 (116th Congress), Florida"
540111,1664,262188,1023,182579,997,138878,1862,1060,230,137818,1879,129893,1908,7925,742,43701,1737,79609,289,11509,718,11070,706,439,122,68100,755,277923,1028,184994,1043,121301,1952,123,104,121178,1960,115436,2038,5742,777,63693,1753,92929,316,10003,707,9782,710,221,77,82926,796,5001600US1208,"Congressional District 8 (116th Congress), Florida"
516789,6193,251760,3571,200063,3250,155717,3075,230,148,155487,3067,148225,3033,7262,808,44346,1884,51697,1219,9176,763,8902,746,274,126,42521,1204,265029,3802,203068,3486,136537,2964,23,30,136514,2964,129123,2859,7391,1008,66531,2385,61961,1368,6856,632,6732,625,124,87,55105,1281,5001600US1209,"Congressional District 9 (116th Congress), Florida"
371871,3971,183149,2594,156381,2380,130538,2211,136,89,130402,2206,126121,2311,4281,563,25843,1509,26768,805,7205,671,6765,673,440,145,19563,829,188722,2656,154774,2288,111025,2229,62,82,110963,2248,106111,2192,4852,613,43749,2065,33948,974,5331,622,5092,598,239,141,28617,992,5001600US1210,"Congressional District 10 (116th Congress), Florida"
593065,2818,282353,1882,157749,1604,107479,2224,161,102,107318,2225,99070,2154,8248,924,50270,1640,124604,986,12169,782,11579,743,590,166,112435,1032,310712,1793,169304,1634,103177,2168,0,32,103177,2168,97145,2080,6032,752,66127,1827,141408,795,11579,912,10971,883,608,170,129829,1151,5001600US1211,"Congressional District 11 (116th Congress), Florida"
