"GEO_ID","NAME","B23006_001E","B23006_001M","B23006_002E","B23006_002M","B23006_003E","B23006_003M","B23006_004E","B23006_004M","B23006_005E","B23006_005M","B23006_006E","B23006_006M","B23006_007E","B23006_007M","B23006_008E","B23006_008M","B23006_009E","B23006_009M","B23006_010E","B23006_010M","B23006_011E","B23006_011M","B23006_012E","B23006_012M","B23006_013E","B23006_013M","B23006_014E","B23006_014M","B23006_015E","B23006_015M","B23006_016E","B23006_016M","B23006_017E","B23006_017M","B23006_018E","B23006_018M","B23006_019E","B23006_019M","B23006_020E","B23006_020M","B23006_021E","B23006_021M","B23006_022E","B23006_022M","B23006_023E","B23006_023M","B23006_024E","B23006_024M","B23006_025E","B23006_025M","B23006_026E","B23006_026M","B23006_027E","B23006_027M","B23006_028E","B23006_028M","B23006_029E","B23006_029M"
"5001600US3604","Congressional District 4 (116th Congress), New York","378964","1999","35467","1609","25067","1402","0","28","25067","1402","23857","1344","1210","261","10400","741","79142","2234","60421","1940","96","71","60325","1936","57033","1893","3292","439","18721","917","92866","2015","76432","1753","94","80","76338","1752","73086","1702","3252","343","16434","923","171489","2518","150991","2314","41","36","150950","2317","146965","2374","3985","432","20498","926"
"5001600US3607","Congressional District 7 (116th Congress), New York","416657","4074","94748","2429","59605","1994","0","28","59605","1994","55502","1924","4103","531","35143","1403","96360","2682","66995","2017","0","28","66995","2017","62128","1986","4867","572","29365","1448","70547","1743","54999","1428","20","25","54979","1427","51676","1360","3303","450","15548","969","155002","2750","139655","2602","20","23","139635","2600","134832","2557","4803","467","15347","808"
"5001600US3704","Congressional District 4 (116th Congress), North Carolina","465591","2289","33586","1625","24165","1356","0","29","24165","1356","22195","1270","1970","390","9421","683","62151","1914","47392","1603","42","51","47350","1605","44615","1513","2735","463","14759","909","110088","2321","90477","2181","165","102","90312","2183","86707","2116","3605","437","19611","976","259766","3220","228078","3079","225","122","227853","3089","222182","3033","5671","620","31688","1131"
"5001600US1202","Congressional District 2 (116th Congress), Florida","370423","1983","46015","1772","19919","1167","0","31","19919","1167","17555","1093","2364","434","26096","1187","121389","2362","73192","1954","147","70","73045","1959","67889","1929","5156","730","48197","1580","116656","2215","82906","2157","1400","341","81506","2154","77374","2122","4132","509","33750","1108","86363","1906","71735","1715","1045","234","70690","1681","68745","1702","1945","314","14628","832"
"5001600US1204","Congressional District 4 (116th Congress), Florida","426565","2463","25700","1468","16842","1247","0","31","16842","1247","15428","1120","1414","342","8858","738","93960","3087","69713","2615","900","267","68813","2683","65509","2634","3304","493","24247","1598","132354","3073","105842","3126","3054","485","102788","3076","97918","2953","4870","657","26512","1304","174551","2848","148239","2839","2353","400","145886","2820","141468","2723","4418","635","26312","1340"
"5001600US1207","Congressional District 7 (116th Congress), Florida","411937","2597","23363","1428","14807","1126","0","31","14807","1126","13619","1051","1188","282","8556","882","82303","2756","59919","2408","106","99","59813","2400","55544","2338","4269","590","22384","1472","138359","2539","111090","2352","273","147","110817","2343","105995","2460","4822","523","27269","1219","167912","2891","144128","2734","365","228","143763","2732","139846","2629","3917","479","23784","1243"
"5001600US1209","Congressional District 9 (116th Congress), Florida","434268","3143","51833","2190","31944","1751","0","31","31944","1751","29401","1707","2543","441","19889","1207","128738","3221","90463","2856","18","32","90445","2852","84708","2793","5737","595","38275","1804","145964","3550","113861","3383","105","66","113756","3380","108152","3332","5604","632","32103","1691","107733","2936","89915","2771","121","72","89794","2765","85946","2867","3848","645","17818","1301"
"5001600US1212","Congressional District 12 (116th Congress), Florida","378422","1752","31333","1418","17056","947","0","31","17056","947","15332","820","1724","338","14277","910","107089","2357","72673","1955","169","88","72504","1963","67537","1937","4967","512","34416","1183","127677","2398","96030","2040","216","102","95814","2031","90750","2003","5064","469","31647","1192","112323","2446","94482","2215","195","112","94287","2202","91591","2167","2696","341","17841","923"
"5001600US1214","Congressional District 14 (116th Congress), Florida","421666","2731","41352","1471","25344","1350","0","31","25344","1350","22469","1328","2875","430","16008","897","106904","2578","80869","2105","85","60","80784","2109","74208","2010","6576","715","26035","1049","114606","2215","92683","2125","654","210","92029","2116","86828","1997","5201","645","21923","887","158804","2958","137908","2774","1250","224","136658","2761","132296","2636","4362","490","20896","1108"
"5001600US1217","Congressional District 17 (116th Congress), Florida","339894","2184","47173","1557","27128","1382","0","31","27128","1382","24805","1402","2323","366","20045","967","125311","2644","83097","2336","79","98","83018","2314","76969","2166","6049","805","42214","1569","103812","2538","73395","2235","66","65","73329","2238","69296","2102","4033","519","30417","1311","63598","2355","47748","2107","61","54","47687","2104","45809","2071","1878","323","15850","1019"
