"GEO_ID","NAME","B23006_001E","B23006_001M","B23006_002E","B23006_002M","B23006_003E","B23006_003M","B23006_004E","B23006_004M","B23006_005E","B23006_005M","B23006_006E","B23006_006M","B23006_007E","B23006_007M","B23006_008E","B23006_008M","B23006_009E","B23006_009M","B23006_010E","B23006_010M","B23006_011E","B23006_011M","B23006_012E","B23006_012M","B23006_013E","B23006_013M","B23006_014E","B23006_014M","B23006_015E","B23006_015M","B23006_016E","B23006_016M","B23006_017E","B23006_017M","B23006_018E","B23006_018M","B23006_019E","B23006_019M","B23006_020E","B23006_020M","B23006_021E","B23006_021M","B23006_022E","B23006_022M","B23006_023E","B23006_023M","B23006_024E","B23006_024M","B23006_025E","B23006_025M","B23006_026E","B23006_026M","B23006_027E","B23006_027M","B23006_028E","B23006_028M","B23006_029E","B23006_029M"
"0400000US12","Florida","10622351","2046","1153257","10320","701653","7999","9","12","701644","7999","636880","7778","64764","2420","451604","5907","2980014","21408","2140812","15294","3698","555","2137114","15377","1992962","14893","144152","3139","839202","9765","3332093","14460","2597581","12815","17120","1012","2580461","12698","2444845","11966","135616","2893","734512","6622","3156987","22402","2636479","20989","15637","909","2620842","20675","2533411","20125","87431","3009","520508","5613"
"0400000US13","Georgia","5434258","2204","652954","8398","376073","5546","100","74","375973","5540","339398","5464","36575","1467","276881","4797","1451729","12112","1024626","9398","4417","499","1020209","9298","954682","8993","65527","2231","427103","5841","1589664","9752","1247784","9054","15326","1056","1232458","9120","1165521","9014","66937","2386","341880","4670","1739911","13744","1498633","12536","9355","815","1489278","12339","1447138","12038","42140","1618","241278","4114"
"0400000US16","Idaho","835465","793","76132","2244","50545","1809","0","28","50545","1809","47540","1742","3005","417","25587","1214","224761","3778","162084","3306","396","172","161688","3289","154509","3099","7179","784","62677","2123","305211","3836","231385","3643","1931","349","229454","3621","221448","3549","8006","761","73826","2274","229361","3540","192975","3213","598","147","192377","3189","188338","3202","4039","433","36386","1323"
"0400000US15","Hawaii","742412","170","45300","1623","29506","1357","34","30","29472","1359","27461","1335","2011","298","15794","809","200901","3107","152877","2687","4494","478","148383","2673","140746","2583","7637","615","48024","1676","248979","3238","202022","3132","11151","622","190871","3076","183221","3003","7650","578","46957","1364","247232","2940","212443","2837","8756","546","203687","2745","199456","2738","4231","489","34789","1192"
"0400000US17","Illinois","6787440","1375","665340","6406","413358","4467","0","26","413358","4467","370810","4325","42548","1646","251982","4237","1631781","11303","1208775","9315","1077","319","1207698","9283","1114100","8540","93598","2128","423006","4489","2019590","8269","1632179","8105","4634","585","1627545","8089","1535923","7755","91622","1986","387411","3886","2470729","14665","2155142","14614","3381","431","2151761","14577","2089176","14648","62585","1511","315587","3524"
"0400000US18","Indiana","3403752","1408","350591","5363","201390","3434","46","55","201344","3432","180864","3266","20480","1083","149201","3312","1064246","7687","779606","6322","314","147","779292","6322","735956","5782","43336","1519","284640","3814","1050718","6282","850343","5324","1313","343","849030","5331","814193","5322","34837","1424","200375","2815","938197","9068","823570","8412","986","199","822584","8398","805541","8281","17043","838","114627","2075"
"0400000US19","Iowa","1568061","865","111237","2289","73248","1739","0","22","73248","1739","67568","1694","5680","522","37989","1336","431620","3757","336854","3369","149","97","336705","3350","322485","3205","14220","757","94766","1794","547467","3584","464045","3399","735","185","463310","3436","449637","3464","13673","742","83422","1614","477737","4624","426924","4535","509","130","426415","4529","420491","4595","5924","500","50813","1464"
"0400000US20","Kansas","1456898","1106","128354","2677","83452","1973","64","48","83388","1976","77564","1851","5824","556","44902","1534","345665","3706","258212","2994","1537","284","256675","2994","245105","2916","11570","682","87453","1886","480082","3720","391273","3442","5078","530","386195","3476","372785","3409","13410","872","88809","1768","502797","4893","439892","4767","4143","397","435749","4843","427862","4830","7887","575","62905","1780"
"0400000US21","Kentucky","2312495","1388","274097","4656","119687","2564","46","44","119641","2562","105742","2327","13899","918","154410","3245","739566","5446","492859","4239","1068","182","491791","4215","460358","4054","31433","1317","246707","3106","719397","5473","548052","5207","3763","426","544289","5175","518115","5270","26174","1136","171345","2595","579435","6433","500154","5667","2872","416","497282","5636","485430","5747","11852","724","79281","1947"
"0400000US22","Louisiana","2431234","1368","335587","5068","168417","3592","11","14","168406","3588","146822","3114","21584","1188","167170","3369","806646","6301","553177","5354","1420","303","551757","5333","514714","5013","37043","1775","253469","3210","693520","5582","533816","5287","5105","551","528711","5273","501310","5342","27401","1394","159704","3057","595481","7499","512592","6851","3854","401","508738","6780","494930","6734","13808","893","82889","2032"
"0400000US23","Maine","708721","500","42335","1587","21097","1068","0","23","21097","1068","18820","1012","2277","320","21238","1143","218745","2540","159233","2358","162","82","159071","2383","150455","2352","8616","575","59512","1507","224152","2575","179667","2260","666","193","179001","2258","172600","2213","6401","583","44485","1359","223489","3070","195854","3103","562","182","195292","3099","191803","3029","3489","334","27635","1153"
"0400000US24","Maryland","3239521","687","284921","4676","186742","3776","9","13","186733","3774","169833","3558","16900","972","98179","2356","762906","6422","579676","5530","1257","271","578419","5512","539096","5240","39323","1556","183230","3407","856591","5832","705675","5522","7512","581","698163","5481","663629","5428","34534","1330","150916","2716","1335103","8118","1189326","7732","10346","710","1178980","7630","1148963","7426","30017","1138","145777","2433"
"0400000US25","Massachusetts","3670571","594","290799","5163","175861","3787","0","29","175861","3787","158385","3694","17476","1172","114938","3090","828484","8296","634798","6794","685","192","634113","6810","592489","6391","41624","1848","193686","3722","874709","6294","717457","5922","1445","249","716012","5935","680710","5884","35302","1416","157252","2937","1676579","9729","1482112","9294","1844","294","1480268","9288","1440399","9190","39869","1307","194467","2954"
"0400000US26","Michigan","5151271","969","426859","5555","222394","3623","0","23","222394","3623","192780","3310","29614","1136","204465","3322","1394008","8515","959036","6552","366","112","958670","6557","888754","6283","69916","1567","434972","4057","1778385","6165","1382344","5819","1414","189","1380930","5812","1309961","5869","70969","1969","396041","3602","1552019","10883","1335098","10320","1318","227","1333780","10306","1299693","10240","34087","1208","216921","2552"
