"C23002B_001E","C23002B_001M","C23002B_002E","C23002B_002M","C23002B_003E","C23002B_003M","C23002B_004E","C23002B_004M","C23002B_005E","C23002B_005M","C23002B_006E","C23002B_006M","C23002B_007E","C23002B_007M","C23002B_008E","C23002B_008M","C23002B_009E","C23002B_009M","C23002B_010E","C23002B_010M","C23002B_011E","C23002B_011M","C23002B_012E","C23002B_012M","C23002B_013E","C23002B_013M","C23002B_014E","C23002B_014M","C23002B_015E","C23002B_015M","C23002B_016E","C23002B_016M","C23002B_017E","C23002B_017M","C23002B_018E","C23002B_018M","C23002B_019E","C23002B_019M","C23002B_020E","C23002B_020M","C23002B_021E","C23002B_021M","C23002B_022E","C23002B_022M","C23002B_023E","C23002B_023M","C23002B_024E","C23002B_024M","C23002B_025E","C23002B_025M","C23002B_026E","C23002B_026M","C23002B_027E","C23002B_027M","GEO_ID","NAME"
"12791","689","7448","414","6961","432","5196","469","69","73","5127","474","4747","460","380","126","1765","250","487","116","158","79","128","74","30","32","329","93","5343","367","4998","351","3513","398","0","24","3513","398","3298","393","215","95","1485","252","345","116","202","112","148","102","54","62","143","79","0400000US23","Maine"
"1431313","2478","653502","1675","567044","1676","427597","3073","3147","390","424450","3089","389829","3279","34621","1401","139447","2811","86458","337","22063","723","20817","709","1246","247","64395","820","777811","1721","645384","1666","497848","2941","1075","209","496773","3019","462005","3296","34768","1702","147536","2549","132427","463","25506","858","23876","857","1630","235","106921","1022","0400000US24","Maryland"
"406786","2843","195556","1776","174341","1673","133181","1868","425","265","132756","1899","119918","2002","12838","895","41160","1670","21215","409","5624","476","5188","454","436","158","15591","556","211230","1774","180965","1677","139490","1777","158","107","139332","1797","128734","1838","10598","866","41475","1508","30265","513","5537","482","5321","462","216","123","24728","647","0400000US25","Massachusetts"
"1069400","2317","496533","1554","428155","1527","278661","2433","318","135","278343","2445","234983","2421","43360","1671","149494","2302","68378","380","10288","501","9618","497","670","135","58090","648","572867","1515","471344","1538","329674","2414","138","95","329536","2418","290149","2679","39387","1533","141670","2308","101523","445","12673","558","11943","577","730","139","88850","645","0400000US26","Michigan"
"244330","1714","124555","1176","116627","1157","87623","1351","65","58","87558","1350","78968","1246","8590","770","29004","1110","7928","270","2126","236","2013","228","113","75","5802","285","119775","1059","109534","1090","83020","1194","13","20","83007","1193","76471","1272","6536","707","26514","1056","10241","236","1532","246","1504","243","28","40","8709","322","0400000US27","Minnesota"
"859433","1856","395022","1364","344664","1337","213253","2258","1534","384","211719","2306","186272","2230","25447","1418","131411","2443","50358","239","8191","558","7954","541","237","106","42167","600","464411","1199","392093","1116","259820","2668","467","187","259353","2674","231332","2559","28021","1279","132273","2559","72318","305","8676","610","8223","591","453","150","63642","681","0400000US28","Mississippi"
"539702","2036","250829","1489","220109","1473","151019","1840","2286","422","148733","1823","133206","1879","15527","859","69090","1833","30720","310","5792","474","5522","452","270","121","24928","485","288873","1130","241254","1045","179111","1637","1032","285","178079","1714","163043","1903","15036","1216","62143","1646","47619","346","7041","636","6614","595","427","142","40578","616","0400000US29","Missouri"
"4103","337","2783","270","2670","270","2178","280","206","87","1972","280","1826","251","146","109","492","121","113","46","17","19","17","19","0","24","96","46","1320","189","1218","183","980","167","41","74","939","186","889","170","50","48","238","104","102","45","40","28","40","28","0","24","62","38","0400000US30","Montana"
"67854","791","34717","521","31642","515","23458","557","297","100","23161","564","21059","602","2102","325","8184","477","3075","97","678","135","638","132","40","32","2397","171","33137","647","29100","646","21848","689","83","66","21765","691","20273","684","1492","326","7252","619","4037","99","780","135","726","132","54","35","3257","161","0400000US31","Nebraska"
"209400","1777","103855","1102","90596","1072","63536","1456","687","187","62849","1455","55794","1438","7055","711","27060","1353","13259","239","2305","270","2173","278","132","57","10954","330","105545","1200","89324","1172","62449","1269","248","124","62201","1287","56147","1330","6054","579","26875","1172","16221","260","2412","314","2279","306","133","64","13809","367","0400000US32","Nevada"
"16622","832","9837","568","9126","562","6657","536","153","103","6504","524","6087","498","417","174","2469","342","711","109","150","87","103","63","47","68","561","137","6785","448","6253","440","4499","472","0","27","4499","472","4084","452","415","168","1754","316","532","97","124","70","92","61","32","41","408","120","0400000US33","New Hampshire"
"954226","3390","442059","2178","386203","2103","276766","2246","1037","332","275729","2272","244106","2511","31623","1469","109437","2155","55856","412","13063","746","12194","739","869","202","42793","784","512167","2004","422919","1901","314457","2900","357","154","314100","2881","286501","2785","27599","1383","108462","2663","89248","553","14891","789","14205","759","686","193","74357","924","0400000US34","New Jersey"
"34604","762","20291","499","17588","536","12055","572","991","257","11064","560","10103","550","961","244","5533","466","2703","253","658","216","643","217","15","18","2045","304","14313","591","11897","572","8062","506","167","85","7895","514","7407","533","488","164","3835","415","2416","227","368","126","364","125","4","7","2048","236","0400000US35","New Mexico"
"2456766","6236","1115464","3552","964224","3236","659337","4538","2506","378","656831","4550","586367","4501","70464","2021","304887","3817","151240","935","31583","1073","29760","1056","1823","318","119657","1368","1341302","4067","1092378","3900","774811","4614","505","177","774306","4611","711259","4352","63047","2194","317567","3410","248924","1145","35556","1106","34070","1076","1486","267","213368","1435","0400000US36","New York"
"1741169","3023","795592","1914","687309","1856","480471","3113","11468","839","469003","3102","421971","3271","47032","2055","206838","2843","108283","459","18640","772","17665","816","975","210","89643","863","945577","2226","781848","2174","571660","3567","1863","298","569797","3574","520940","3626","48857","1843","210188","3222","163729","513","24302","1086","22774","1013","1528","312","139427","1225","0400000US37","North Carolina"
"15977","452","9719","376","9511","376","7824","493","378","140","7446","501","6972","529","474","217","1687","412","208","96","71","47","71","47","0","22","137","82","6258","269","6110","283","4803","303","227","124","4576","314","4167","334","409","174","1307","274","148","131","20","26","20","26","0","22","128","127","0400000US38","North Dakota"
"1109308","2743","521688","1868","452363","1887","308453","2392","407","159","308046","2403","267786","2402","40260","1558","143910","2321","69325","456","12826","783","11898","764","928","266","56499","826","587620","1911","484226","1856","352751","2167","259","138","352492","2149","315497","2471","36995","1447","131475","2187","103394","457","14823","639","13745","605","1078","274","88571","823","0400000US39","Ohio"
"220596","1365","109873","1012","97507","1034","66110","1325","2247","412","63863","1274","57069","1332","6794","537","31397","1128","12366","236","2319","220","2260","220","59","38","10047","319","110723","849","93712","870","64753","967","470","153","64283","990","58526","1056","5757","550","28959","901","17011","203","3264","301","3136","295","128","48","13747","319","0400000US40","Oklahoma"
"61599","1045","33725","783","30315","759","22017","736","40","33","21977","728","20034","691","1943","388","8298","715","3410","234","826","170","737","163","89","76","2584","268","27874","641","24306","632","16972","829","30","36","16942","827","15356","788","1586","314","7334","614","3568","167","702","174","662","162","40","75","2866","196","0400000US41","Oregon"
"1107651","3187","525459","2184","462063","2177","299222","2849","704","236","298518","2901","259736","3042","38782","1818","162841","2649","63396","388","11307","650","10316","593","991","247","52089","787","582192","1883","481672","1832","339777","2541","203","99","339574","2539","306619","2790","32955","1509","141895","2622","100520","518","13802","759","12753","737","1049","209","86718","881","0400000US42","Pennsylvania"
"55348","1400","28027","853","25338","805","18299","843","221","112","18078","857","16341","839","1737","356","7039","827","2689","160","553","139","518","133","35","32","2136","225","27321","927","23881","893","17181","810","43","50","17138","807","15404","769","1734","400","6700","641","3440","246","451","123","451","123","0","30","2989","265","0400000US44","Rhode Island"
"1056455","1856","481615","1512","410398","1464","281103","2718","4418","698","276685","2803","248248","3009","28437","1604","129295","2654","71217","268","12234","797","11866","776","368","137","58983","831","574840","1092","470843","1066","335285","2709","1887","402","333398","2675","305049","2743","28349","1539","135558","2606","103997","285","14370","574","13526","565","844","211","89627","612","0400000US45","South Carolina"
"12302","448","7616","384","7337","421","5450","446","152","61","5298","449","5060","433","238","146","1887","351","279","114","125","75","125","75","0","23","154","86","4686","320","4455","337","3251","380","37","37","3214","380","3119","368","95","64","1204","275","231","120","33","35","33","35","0","23","198","113","0400000US46","South Dakota"
"870706","2151","403754","1464","357111","1485","248771","2250","2868","471","245903","2259","222637","2540","23266","1337","108340","2293","46643","422","9349","548","8785","527","564","198","37294","716","466952","1500","396779","1445","289613","2677","737","247","288876","2675","264010","2720","24866","1183","107166","2616","70173","473","10909","691","10163","696","746","206","59264","911","0400000US47","Tennessee"
"2641668","4571","1257852","3141","1127908","3064","802233","4402","12980","844","789253","4364","721368","4209","67885","2433","325675","4573","129944","718","29187","1019","27787","994","1400","271","100757","1206","1383816","3367","1195458","3284","874843","5085","3587","433","871256","5176","807217","5725","64039","2561","320615","5093","188358","710","33349","1432","31676","1344","1673","315","155009","1453","0400000US48","Texas"
"25517","852","15126","633","14366","624","10755","531","213","96","10542","535","9756","561","786","226","3611","440","760","82","210","83","210","83","0","27","550","106","10391","428","9731","447","6657","495","43","34","6614","486","6283","475","331","135","3074","432","660","104","111","73","111","73","0","27","549","89","0400000US49","Utah"
"6354","277","3831","260","3551","256","2662","261","11","14","2651","261","2521","263","130","80","889","170","280","104","129","91","129","91","0","22","151","63","2523","199","2301","185","1803","169","0","22","1803","169","1727","183","76","61","498","142","222","64","68","64","68","64","0","22","154","64","0400000US50","Vermont"
"1291833","3268","611511","2051","530287","2137","388569","2862","14834","1115","373735","2978","343860","3046","29875","1379","141718","2615","81224","514","18769","883","18225","879","544","174","62455","1121","680322","1981","563762","1948","427258","2734","5437","574","421821","2788","392112","2869","29709","1377","136504","2921","116560","555","19895","912","19286","867","609","178","96665","937","0400000US51","Virginia"
"219314","2388","119880","1521","109002","1528","83545","1626","4423","468","79122","1612","72170","1561","6952","818","25457","1266","10878","264","2885","319","2710","319","175","106","7993","399","99434","1514","87970","1532","63995","1510","1215","223","62780","1479","58429","1467","4351","607","23975","1136","11464","363","2272","293","2240","296","32","31","9192","433","0400000US53","Washington"
"54975","941","31212","647","27171","624","15293","652","21","28","15272","653","13523","643","1749","337","11878","624","4041","213","656","143","656","143","0","28","3385","238","23763","572","19131","524","12709","451","31","35","12678","451","11384","476","1294","231","6422","414","4632","237","758","168","719","169","39","34","3874","209","0400000US54","West Virginia"
"270598","1403","130258","1059","118011","1047","73041","1317","169","123","72872","1355","64293","1333","8579","629","44970","1244","12247","157","2143","270","2008","256","135","96","10104","304","140340","998","123088","940","85475","1276","80","75","85395","1274","77870","1213","7525","561","37613","1158","17252","245","2621","317","2558","313","63","48","14631","389","0400000US55","Wisconsin"
"4335","482","2620","356","2432","357","1897","249","187","113","1710","261","1515","235","195","116","535","317","188","80","62","45","62","45","0","28","126","69","1715","400","1631","402","1211","325","81","52","1130","331","1066","328","64","85","420","174","84","55","0","28","0","28","0","28","84","55","0400000US56","Wyoming"
"328458","5990","160302","3319","126272","3078","77053","2105","195","106","76858","2077","63595","1891","13263","989","49219","1941","34030","944","2735","401","2525","380","210","99","31295","958","168156","3634","128138","3182","67863","2169","24","25","67839","2170","55904","1929","11935","976","60275","2207","40018","1210","1964","286","1870","289","94","63","38054","1272","0400000US72","Puerto Rico"
