GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - 16 to 64 years:,Margin of Error; Male: - 16 to 64 years:,Estimate; Male: - 16 to 64 years: - In labor force:,Margin of Error; Male: - 16 to 64 years: - In labor force:,Estimate; Male: - 16 to 64 years: - In labor force: - In Armed Forces,Margin of Error; Male: - 16 to 64 years: - In labor force: - In Armed Forces,Estimate; Male: - 16 to 64 years: - In labor force: - Civilian:,Margin of Error; Male: - 16 to 64 years: - In labor force: - Civilian:,Estimate; Male: - 16 to 64 years: - In labor force: - Civilian: - Employed,Margin of Error; Male: - 16 to 64 years: - In labor force: - Civilian: - Employed,Estimate; Male: - 16 to 64 years: - In labor force: - Civilian: - Unemployed,Margin of Error; Male: - 16 to 64 years: - In labor force: - Civilian: - Unemployed,Estimate; Male: - 16 to 64 years: - Not in labor force,Margin of Error; Male: - 16 to 64 years: - Not in labor force,Estimate; Male: - 65 years and over:,Margin of Error; Male: - 65 years and over:,Estimate; Male: - 65 years and over: - In labor force:,Margin of Error; Male: - 65 years and over: - In labor force:,Estimate; Male: - 65 years and over: - In labor force: - Employed,Margin of Error; Male: - 65 years and over: - In labor force: - Employed,Estimate; Male: - 65 years and over: - In labor force: - Unemployed,Margin of Error; Male: - 65 years and over: - In labor force: - Unemployed,Estimate; Male: - 65 years and over: - Not in labor force,Margin of Error; Male: - 65 years and over: - Not in labor force,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - 16 to 64 years:,Margin of Error; Female: - 16 to 64 years:,Estimate; Female: - 16 to 64 years: - In labor force:,Margin of Error; Female: - 16 to 64 years: - In labor force:,Estimate; Female: - 16 to 64 years: - In labor force: - In Armed Forces,Margin of Error; Female: - 16 to 64 years: - In labor force: - In Armed Forces,Estimate; Female: - 16 to 64 years: - In labor force: - Civilian:,Margin of Error; Female: - 16 to 64 years: - In labor force: - Civilian:,Estimate; Female: - 16 to 64 years: - In labor force: - Civilian: - Employed,Margin of Error; Female: - 16 to 64 years: - In labor force: - Civilian: - Employed,Estimate; Female: - 16 to 64 years: - In labor force: - Civilian: - Unemployed,Margin of Error; Female: - 16 to 64 years: - In labor force: - Civilian: - Unemployed,Estimate; Female: - 16 to 64 years: - Not in labor force,Margin of Error; Female: - 16 to 64 years: - Not in labor force,Estimate; Female: - 65 years and over:,Margin of Error; Female: - 65 years and over:,Estimate; Female: - 65 years and over: - In labor force:,Margin of Error; Female: - 65 years and over: - In labor force:,Estimate; Female: - 65 years and over: - In labor force: - Employed,Margin of Error; Female: - 65 years and over: - In labor force: - Employed,Estimate; Female: - 65 years and over: - In labor force: - Unemployed,Margin of Error; Female: - 65 years and over: - In labor force: - Unemployed,Estimate; Female: - 65 years and over: - Not in labor force,Margin of Error; Female: - 65 years and over: - Not in labor force
0400000US31,31,Nebraska,1316862,1785,648852,1157,530616,1159,455412,1620,3638,368,451774,1648,436226,1653,15548,825,75204,1454,118236,191,32385,635,31853,608,532,149,85851,638,668010,945,520745,916,408227,1824,527,138,407700,1808,393801,2026,13899,863,112518,1809,147265,191,25900,644,25544,649,356,118,121365,644
0400000US32,32,Nevada,1578632,3846,801742,2317,638666,2229,511675,2848,4919,408,506756,2919,468823,2919,37933,1345,126991,2155,163076,473,32616,998,30093,1001,2523,356,130460,1012,776890,2125,604525,2059,419311,2797,853,176,418458,2797,388668,2742,29790,1415,185214,2689,172365,631,25711,906,24521,833,1190,238,146654,1056
0400000US33,33,New Hampshire,1037911,1067,508523,759,411257,775,343459,1540,1404,259,342055,1522,324905,1715,17150,1050,67798,1597,97266,140,25359,882,24367,819,992,254,71907,883,529388,743,412429,740,316639,2080,76,64,316563,2078,304312,2126,12251,653,95790,2270,116959,136,20362,637,19836,628,526,161,96597,646
0400000US34,34,New Jersey,4986068,7477,2414091,4562,1949217,4365,1598580,4691,5120,406,1593460,4676,1494651,4452,98809,1899,350637,3694,464874,767,122428,1821,115781,1743,6647,518,342446,1901,2571977,4110,1953656,3804,1422953,5075,757,188,1422196,5051,1337927,5040,84269,2124,530703,4433,618321,1007,100839,1809,95712,1779,5127,433,517482,1954
0400000US35,35,New Mexico,1241561,4218,609145,2202,482017,2082,361733,2971,6177,467,355556,3034,329232,3013,26324,1201,120284,2020,127128,684,25011,820,23933,801,1078,213,102117,986,632416,2492,483533,2073,317430,2604,978,220,316452,2594,296177,2612,20275,1073,166103,2517,148883,910,22347,964,21556,937,791,178,126536,1316
0400000US36,36,New York,10494743,12070,5094279,6642,4108562,6361,3270814,8553,15495,806,3255319,8562,3062202,9247,193117,3377,837748,5863,985717,1148,235879,2401,225847,2407,10032,627,749838,2687,5400464,7035,4110613,6422,2958897,8302,1652,280,2957245,8246,2807707,7907,149538,2750,1151716,7199,1289851,1732,196820,2783,189665,2750,7155,487,1093031,2907
0400000US37,37,North Carolina,5682237,4599,2764865,2768,2225770,2766,1783017,5454,66968,1814,1716049,5484,1616510,5536,99539,2406,442753,4913,539095,539,112891,1804,109138,1729,3753,328,426204,1873,2917372,2645,2237811,2646,1541701,5118,5362,560,1536339,5207,1445446,5565,90893,2234,696110,4764,679561,545,86686,1759,83822,1783,2864,356,592875,1707
0400000US38,38,North Dakota,530201,703,271095,535,224249,533,193039,1113,4593,465,188446,1204,183869,1303,4577,511,31210,963,46846,58,12617,505,12349,504,268,97,34229,502,259106,465,202275,456,160364,1045,682,189,159682,1064,156383,1104,3299,478,41911,1024,56831,70,9414,436,9319,422,95,46,47417,433
0400000US39,39,Ohio,7751283,3206,3766815,2210,3046484,2247,2433368,6150,6023,467,2427345,6104,2286948,6482,140397,2530,613116,5689,720331,388,151393,2070,146957,2095,4436,433,568938,2031,3984468,2023,3060266,1995,2201504,5661,992,227,2200512,5685,2090333,5742,110179,2585,858762,5753,924202,411,123710,2095,119772,1938,3938,407,800492,2169
0400000US40,40,Oklahoma,2285921,2238,1119990,1387,901738,1341,708956,2528,10743,653,698213,2499,663557,2744,34656,1109,192782,2631,218252,248,49564,945,48266,942,1298,189,168688,949,1165931,1298,894484,1202,596513,2621,1988,268,594525,2609,564973,2785,29552,927,297971,2518,271447,275,39585,855,38749,848,836,182,231862,886
0400000US41,41,Oregon,2813983,3451,1379684,2092,1099911,2082,862399,3916,1900,278,860499,3893,800464,3828,60035,1757,237512,3261,279773,406,52196,1251,49811,1172,2385,339,227577,1223,1434299,2057,1101390,1941,774632,3444,393,143,774239,3429,725989,3458,48250,1824,326758,3349,332909,408,43070,1156,41633,1088,1437,278,289839,1238
0400000US42,42,Pennsylvania,8625037,4736,4186555,2900,3331467,2894,2673999,5296,3549,403,2670450,5288,2512135,6348,158315,2765,657468,4574,855088,381,188740,2204,181481,2156,7259,451,666348,2251,4438482,2914,3328666,2776,2412499,4879,493,155,2412006,4883,2290801,5582,121205,2186,916167,4702,1109816,535,156036,2008,150741,2014,5295,458,953780,2046
0400000US44,44,Rhode Island,721794,2091,344736,1415,277866,1384,223060,1497,2418,212,220642,1509,206254,1589,14388,771,54806,1444,66870,310,16291,656,15420,590,871,205,50579,735,377058,1190,287033,1116,215517,2031,315,132,215202,2032,202670,2071,12532,672,71516,1908,90025,284,13517,702,12992,676,525,155,76508,792
